Date,Open,High,Low,Close,Volume,Adj Close
4/29/2014,61.35,62.3,61.35,62.25,3879300,59.815
4/28/2014,60.4,61.5,60.1,61.35,2538100,58.95
4/25/2014,61.35,61.55,60.05,60.35,2008200,57.989
4/24/2014,61.8,61.85,61.35,61.7,1512400,59.286
4/23/2014,62.2,62.2,61.05,61.65,1917400,59.238
4/22/2014,61.7,62.1,61.5,61.85,1824900,59.43
4/21/2014,61.75,61.75,61.75,61.75,0,59.334
4/18/2014,61.75,61.75,61.75,61.75,0,59.334
4/17/2014,62.25,62.25,61.55,61.75,1118300,59.334
4/16/2014,61.6,62.1,61.55,62.1,2257900,59.671
4/15/2014,62.25,62.25,61.6,61.65,2353800,59.238
4/14/2014,61.25,62,61.25,61.95,3744800,59.526
4/11/2014,61.85,62,61.2,61.45,3443000,59.046
4/10/2014,60.9,61.4,60.7,61.35,2802100,58.95
4/9/2014,60.75,61.45,60.65,61.45,4108900,59.046
4/8/2014,60.1,60.65,59.8,60.6,2887900,58.229
4/7/2014,59.75,60.2,59.7,59.8,1679400,57.461
4/4/2014,59.4,59.9,59.4,59.85,1527800,57.509
4/3/2014,59.65,59.8,59.3,59.7,2239100,57.364
4/2/2014,59.25,59.75,58.7,59.35,2296600,57.028
4/1/2014,59,59.15,58.5,59.1,2104600,56.788
